# memory size (bytes)	cycles
2036000	10937
2037000	10937
2038000	9375
2039000	10937
2040000	10937
2041000	10937
2042000	10937
2043000	9375
2044000	10937
2045000	10937
2046000	10937
2047000	9375
2048000	10937
2049000	10937
2050000	9375
2051000	10937
2052000	10937
2053000	10937
2054000	10937
2055000	10937
2056000	10937
2057000	10937
2058000	9375
2059000	10937
2060000	10937
2061000	10937
2062000	10937
2063000	9375
2064000	10937
2065000	10937
2066000	10937
2067000	9375
2068000	10937
2069000	10937
2070000	10937
2071000	10937
2072000	10937
2073000	9375
2074000	10937
2075000	10937
2076000	10937
2077000	10937
2078000	9375
2079000	10937
2080000	10937
2081000	10937
2082000	9375
2083000	12500
2084000	9375
2085000	12500
2086000	10937
2087000	10937
2088000	10937
2089000	10937
2090000	10937
2091000	10937
2092000	9375
2093000	10937
2094000	10937
2095000	10937
2096000	10937
2097000	10937
2098000	10937
2099000	10937
2100000	10937
2101000	10937
2102000	10937
2103000	10937
2104000	10937
2105000	10937
2106000	10937
2107000	10937
2108000	10937
2109000	10937
2110000	10937
2111000	10937
2112000	10937
2113000	10937
2114000	10937
2115000	10937
2116000	10937
2117000	9375
2118000	10937
2119000	10937
2120000	10937
2121000	10937
2122000	10937
2123000	10937
2124000	10937
2125000	9375
2126000	12500
2127000	10937
2128000	10937
2129000	10937
2130000	10937
2131000	10937
2132000	10937
2133000	9375
2134000	10937
2135000	10937
2136000	10937
2137000	10937
2138000	10937
2139000	10937
2140000	10937
2141000	10937
2142000	10937
2143000	10937
2144000	10937
2145000	10937
2146000	10937
2147000	10937
2148000	10937
2149000	10937
